기간,품목명,품목코드,수출중량,수입중량,수출금액,수입금액,무역수지
2014.08,염화칼륨,3104200000,0.0,"37,860.3",0,"14,752","-14,752"
2014.09,염화칼륨,3104200000,0.0,"19,711.7",0,"7,382","-7,382"
2014.10,염화칼륨,3104200000,46.0,"15,298.8",21,"5,975","-5,954"
2014.11,염화칼륨,3104200000,0.0,"51,085.6",0,"19,298","-19,298"
2014.12,염화칼륨,3104200000,0.3,"43,363.4",1,"16,575","-16,574"
2015.01,염화칼륨,3104200000,0.0,"65,131.3",0,"24,383","-24,383"
2015.02,염화칼륨,3104200000,0.0,"64,566.4",0,"25,453","-25,453"
2015.03,염화칼륨,3104200000,0.0,"49,278.9",0,"18,411","-18,411"
2015.04,염화칼륨,3104200000,0.1,"54,570.3",0,"21,405","-21,405"
2015.05,염화칼륨,3104200000,0.0,"78,906.8",0,"30,775","-30,775"
2015.06,염화칼륨,3104200000,0.1,"31,137.4",0,"12,100","-12,100"
2015.07,염화칼륨,3104200000,0.6,"48,785.1",2,"18,496","-18,494"
2015.08,염화칼륨,3104200000,0.0,"24,430.1",0,"9,873","-9,873"
2015.09,염화칼륨,3104200000,0.0,"13,636.4",0,"5,630","-5,630"
2015.10,염화칼륨,3104200000,0.1,"40,674.6",0,"16,265","-16,265"
2015.11,염화칼륨,3104200000,40.4,"29,979.6",25,"11,335","-11,310"
2015.12,염화칼륨,3104200000,0.6,"34,033.8",2,"13,565","-13,563"
2016.01,염화칼륨,3104200000,1.0,"85,814.9",2,"32,960","-32,958"
2016.02,염화칼륨,3104200000,0.0,"45,868.3",0,"15,266","-15,266"
2016.03,염화칼륨,3104200000,10.5,"62,708.6",5,"21,649","-21,644"
2016.04,염화칼륨,3104200000,20.2,"49,882.5",8,"16,099","-16,091"
2016.05,염화칼륨,3104200000,0.1,"22,966.4",0,"7,527","-7,527"
2016.06,염화칼륨,3104200000,0.2,"47,968.5",1,"14,871","-14,870"
2016.07,염화칼륨,3104200000,0.3,"31,773.9",1,"10,248","-10,247"
2016.08,염화칼륨,3104200000,0.0,"26,496.1",0,"8,206","-8,206"
2016.09,염화칼륨,3104200000,105.6,"52,925.6",42,"15,209","-15,167"
2016.10,염화칼륨,3104200000,0.2,"34,145.8",1,"10,184","-10,183"
2016.11,염화칼륨,3104200000,20.1,"47,115.5",7,"13,482","-13,475"
2016.12,염화칼륨,3104200000,0.0,"35,506.2",0,"10,339","-10,339"
2017.01,염화칼륨,3104200000,20.0,"45,496.4",7,"13,595","-13,588"
2017.02,염화칼륨,3104200000,0.1,"46,330.3",1,"13,406","-13,405"
2017.03,염화칼륨,3104200000,21.7,"66,073.1",11,"19,640","-19,629"
2017.04,염화칼륨,3104200000,0.1,"61,562.1",1,"17,780","-17,779"
2017.05,염화칼륨,3104200000,40.7,"63,606.2",15,"19,125","-19,110"
2017.06,염화칼륨,3104200000,1.0,"77,138.2",5,"22,868","-22,863"
2017.07,염화칼륨,3104200000,0.1,"51,126.3",1,"15,140","-15,139"
2017.08,염화칼륨,3104200000,21.2,"27,569.8",11,"8,507","-8,496"
2017.09,염화칼륨,3104200000,0.4,"54,847.4",2,"17,267","-17,265"
2017.10,염화칼륨,3104200000,0.1,"14,586.0",0,"4,629","-4,629"
2017.11,염화칼륨,3104200000,0.8,"38,156.4",4,"12,007","-12,003"
2017.12,염화칼륨,3104200000,0.9,"60,730.7",5,"18,456","-18,451"
2018.01,염화칼륨,3104200000,20.0,"56,153.7",8,"16,317","-16,309"
2018.02,염화칼륨,3104200000,0.0,"10,833.5",0,"3,145","-3,145"
2018.03,염화칼륨,3104200000,0.0,"96,908.4",0,"29,658","-29,658"
2018.04,염화칼륨,3104200000,0.0,"13,860.2",0,"4,229","-4,229"
2018.05,염화칼륨,3104200000,0.0,"104,040.9",0,"32,500","-32,500"
2018.06,염화칼륨,3104200000,0.1,"37,973.1",1,"12,097","-12,096"
2018.07,염화칼륨,3104200000,60.0,"61,120.7",22,"19,250","-19,228"
2018.08,염화칼륨,3104200000,"20,010.1","59,911.1","5,915","20,160","-14,245"
